Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,case,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred
sga_dipwbg-ud-test,34,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko_pud-ud-test,1000,0,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,377.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,1699,,1.0,,,,,,3.0,,,,,,,,,,,17.0,,,,,,,3.0,,,,,,,80.0,,,,,,,,,,,9.0,,,,,,,,,,2.0,,,1108.0,,,,,,,,,,,,50.0,,,5.0,16.0,,1.0,65.0,,,321.0,,,,,,,,,,,,,,,,,3.0,9.0,,,,,,6.0,,,,
la_ittb-ud-dev,2101,0,794,,2.0,,,,,5.0,4.0,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,34.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,720.0,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,3.0,,
la_ittb-ud-test,2101,0,800,,,,,,,3.0,12.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,711.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,20.0,,,,
la_ittb-ud-train,22775,0,15010,,8.0,,,,,73.0,100.0,,51.0,,,,,,2.0,,,2.0,,,14.0,,8.0,,,,,,,,,756.0,49.0,43.0,,7.0,6.0,,,,,,,1.0,,,,,,,,,,,,13630.0,,,,,,,,,,,,4.0,,,5.0,,,,,,,28.0,,,13.0,,,,,,,,,,,,,,27.0,2.0,,,,,,150.0,,31.0,,
qtd_sagt-ud-test,805,0,58,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,6.0,,1.0,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,
qtd_sagt-ud-dev,801,0,41,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
qtd_sagt-ud-train,578,0,40,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,
ga_cadhan-ud-test,193,0,180,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,3.0,,,,,,,,119.0,,,,,,,,,,,,2.0,,,,,,,21.0,,,15.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,1.0
krl_kkpp-ud-test,228,0,191,,,,,,,,1.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,,11.0,,,,,,1.0,,,116.0,,,,,,,,,,20.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
pl_pud-ud-test,1000,0,1599,,,,,,,,,,,,,,,,,,,9.0,,,1.0,,,,,,,,,,,70.0,,,,,,1.0,,,,,13.0,11.0,,,,,,,,,44.0,,,324.0,,448.0,,44.0,,,,,4.0,,,34.0,,,2.0,,,,230.0,,,229.0,8.0,,104.0,,,,8.0,,,,,,,,,,1.0,,,9.0,1.0,,,3.0,,1.0,,
orv_torot-ud-test,2955,0,1389,,10.0,,,,,,2.0,,3.0,,,,,,,,,80.0,,,,,,,,,,,,,,147.0,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,30.0,,,,,,,242.0,,,352.0,12.0,,72.0,,,,,,,,,,,,,,9.0,,,,,,,11.0,,11.0,,
orv_torot-ud-dev,3061,0,1283,,1.0,,,,,,3.0,,2.0,,,,,,,,,53.0,,,2.0,,,,,,,,,,,159.0,,,,,,6.0,,3.0,,,2.0,,,,,,,,,,,,,303.0,,,,,,,,,,,,31.0,,,1.0,,,,233.0,,,351.0,15.0,,85.0,,,,,,,,,,,,,,16.0,,,,,,,13.0,,4.0,,
orv_torot-ud-train,20480,0,8985,,23.0,,,,,,13.0,,27.0,,,,,,,,,680.0,,,7.0,,,,,,,,,,,806.0,,,,,,68.0,,27.0,,,4.0,,,,,,,,,,,,,2908.0,,,,,,,,,,,,153.0,,,1.0,,,,1339.0,,,2049.0,98.0,,495.0,,,,,,,,,,,,,,152.0,4.0,,,,,,69.0,2.0,60.0,,
cs_cac-ud-dev,603,0,1097,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,129.0,,,,,,3.0,,,,,5.0,1.0,,,,,,,,,,,,838.0,,,,,,,,,,,,3.0,,,5.0,,,,3.0,,,78.0,,,17.0,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,6.0,,
cs_cac-ud-train,23478,0,45713,2.0,1.0,,,,,9.0,44.0,,,,,,,,,,,319.0,,2.0,9.0,,,,,,,,,,,4163.0,,5.0,,1.0,,158.0,,,,,244.0,5.0,,8.0,,,,,,,1.0,,,32590.0,,,,,,,,,,,,388.0,,,154.0,,,,311.0,,,5284.0,,,1561.0,,,,,,,,,,,,,,145.0,2.0,,,,,,167.0,,140.0,,
cs_cac-ud-test,628,0,990,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,125.0,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,658.0,,,,,,,,,,,,7.0,,,5.0,,,,5.0,,,123.0,,,46.0,,,,,,,,,,,,,,2.0,,,,,,,3.0,,2.0,,
eu_bdt-ud-train,5396,0,1186,,1.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,46.0,,,,,,6.0,,,,,,3.0,,,,,,,,,,,,862.0,,,,,,,,,,,,6.0,,,,,,,9.0,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
eu_bdt-ud-test,1799,0,417,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,15.0,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,301.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
eu_bdt-ud-dev,1798,0,408,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,294.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fi_ftb-ud-dev,1875,0,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,35.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,460.0,,,,,21.0,8.0,,,,,,43.0,7.0,,,,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
fi_ftb-ud-train,14981,0,5938,,1.0,,,,,,14.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,19.0,,237.0,,,,,,,,,,,9.0,4.0,,,,,,,,,,,,3897.0,,,,,179.0,66.0,,,,,,323.0,30.0,,,,,,1106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,9.0,,
fi_ftb-ud-test,1867,0,761,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,500.0,,,,,24.0,8.0,,,,,,42.0,4.0,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,
pl_lfg-ud-test,1727,0,625,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,142.0,,,18.0,,,,,,,68.0,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-train,13774,0,4838,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,172.0,,,,,,,,,,,,6.0,,,,,,,,,,,,616.0,,,,,,,,,1184.0,,,214.0,,,4.0,,,,573.0,,,2040.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pl_lfg-ud-dev,1745,0,567,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,141.0,,,19.0,,,1.0,,,,63.0,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_tourism-ud-train,15473,0,719,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,619.0,,,,,,,,,,,,62.0,,,,1.0,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,
tr_tourism-ud-dev,2166,0,87,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
cs_poetry-ud-test,297,0,324,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,4.0,,,,,,,4.0,,,65.0,,,14.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
ru_gsd-ud-test,601,0,1138,,,,,,,,,,,,,,,,,,,14.0,,,1.0,,,,,,,,,,,61.0,,,,,,,,,,,1.0,48.0,,2.0,,,,,,,,,,797.0,,,,,,,,,,,,30.0,,,1.0,,,3.0,28.0,,,147.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,,,,
ru_gsd-ud-dev,579,0,1202,,,,,,,,,,,,,,,,,,1.0,27.0,,,1.0,,,,,,,,,,,84.0,,,,,,,,,,,1.0,47.0,,,,,,,,,,,,847.0,,,,,,,,,,,,16.0,,,2.0,,,4.0,32.0,,,126.0,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,7.0,,,,
ru_gsd-ud-train,3850,0,7616,,,,,,,2.0,,,,,,,,,,,3.0,138.0,,,1.0,,,,1.0,,,,,,,463.0,,,,,,,,,,,2.0,277.0,,,,,,,,,7.0,,,5344.0,,,,,,,,,,,,85.0,,,23.0,2.0,,30.0,215.0,,,914.0,,,,,,,,,,,,,,,,,20.0,24.0,,,,,,65.0,,,,
tr_imst-ud-train,3435,0,999,,,,,,,,,,,,,,,,,,,2.0,,,,,,,14.0,,,,,,,45.0,,,,,,,,,,,,12.0,,,,,,,,,,,,14.0,,,,,,,,,635.0,,,268.0,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,293,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,20.0,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,4.0,,,,,,,,,180.0,,,70.0,,,,,,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_imst-ud-test,1100,0,223,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,20.0,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,140.0,,,50.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,529,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,13.0,,,,,,,18.0,,,,,,,,,,,,37.0,,,,,,,,,1.0,,,417.0,,,,,,,,,,,,19.0,,,,,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,10.0,,,,
tr_boun-ud-dev,979,0,318,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,13.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,202.0,,,84.0,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,
tr_boun-ud-test,979,0,328,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,226.0,,,85.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,2591,,3.0,,,,,,,,,,,,,,,,6.0,4.0,,1.0,3.0,,,,6.0,,,,,,2.0,130.0,,2.0,,,,,3.0,,,,,4.0,,,,,,,,,,,,20.0,,,,,,,,1.0,1634.0,,,744.0,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,16.0,,,,
tr_penn-ud-dev,622,0,171,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,18.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,295,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,1.0,,,,,,,,,,,,233.0,,,,,,,,,,,,42.0,,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,4202,,1.0,,,,,,3.0,,,,,,,,,,12.0,2.0,,,10.0,,,,14.0,,,,,,,96.0,,17.0,,,,,2.0,,,,,18.0,,,,,,,,,,,,2789.0,,,,,,,,,,,,1164.0,,,,12.0,,,43.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
